participant.code,treatment,total_distance,type,options_visited
odktm0a6,C,278.8259519,A,1
9opvwld4,C,299.1415424,A,1
s6ol47dd,C,299.3268051,A,1
4h9meeyy,C,311.8907987,A,1
poz055hz,C,312.908709,A,1
hjq4dj4f,C,373.0855477,A,1
iz2dp5pl,C,388.3508137,A,1
woy3chsa,C,410.0352997,A,1
9kd0ouwr,C,415.4209951,A,1
pfruze01,C,416.1901544,A,1
zwsvppxj,C,416.2134894,A,1
1lfcafly,C,447.2976374,A,1
kvvtyxil,C,456.3161744,A,1
uxzt6z6k,C,459.4869085,A,1
v8c7znmq,C,461.6065099,A,1
w1sty825,C,469.0550749,A,1
6o3s4wc5,C,477.720938,A,1
gyuw9wln,C,492.41341,A,1
02zu8j6b,C,497.6770033,A,1
ne8yjfio,C,499.8326923,A,1
r2tbbbee,C,502.3646723,A,1
d9uvh35s,C,507.0648286,A,1
8au1f1vd,C,527.2536082,A,1
zq896de0,C,537.6320953,A,1
lj774bg5,C,540.4737759,A,1
8s1wsytf,C,553.5103526,A,1
iixglpx6,C,553.8073066,A,1
8lwjle2v,C,583.6116352,A,1
3n5rpgc7,C,604.3830746,A,1
uqgyb60k,C,606.8080354,A,1
qujbp8ld,C,683.3317864,A,1
nh6h8y5p,C,692.2301494,A,1
gazl5ur8,C,765.7340761,A,1
isova4sd,C,879.4590907,A,1
10954ri4,C,951.0924049,A<O,2
7nfvp2sr,C,1160.681189,A<O,3
9ptzp07x,C,1203.389284,A,1
c9iyf1lu,C,1302.475298,A=O,2
u40exh79,C,1447.377972,A=O,2
yu7poanz,C,2262.709087,A=O,4
rk7pbgrq,C,2634.342106,A<O,6
n4wx9zbx,C,2923.80444,A=O,6
9x4wp3bz,C,3171.147647,A=O,6
vwburhlr,C,3257.371283,A=O,6
bwxabjz3,C,3310.214168,A=O,6
wk44og6v,C,3461.771481,A=O,6
uo355dhs,C,3637.723408,A=O,4
onpuf3mj,C,3756.63058,A=O,6
torei7kx,C,4504.014167,A<O,6
bd888o8h,C,4694.92375,A<O,6
mbe0p7hp,C,4724.536051,A=O,6
ku53a4le,C,5338.934443,A=O,6
paumy092,C,5566.38839,A=O,6
xiisrgmb,C,5655.922403,A<O,6
rrvfmoo9,C,6037.459566,A=O,6
4111ba0n,C,6614.886807,A<O,6
n1erlc7h,C,6750.222213,A<O,6
oeimtbge,C,7371.463416,A=O,6
c0urfx0c,C*,286.0912973,A,1
21gz3mo8,C*,296.4127723,A,1
gyglunit,C*,304.0736877,A,1
te468y5p,C*,323.1836341,A,1
zw5ngnd5,C*,323.4337494,A,1
a088uzsb,C*,323.4376063,A,1
8v9216fw,C*,326.0497297,A,1
u0ghtcr2,C*,342.1404762,A,1
rqk9lyec,C*,375.5341774,A,1
82zwgqw0,C*,395.1149,A,1
p1d2vc2u,C*,399.1043905,A,1
uuff6rv7,C*,406.2279823,A,1
ieecgnoa,C*,415.694748,A,1
4imzjr9n,C*,419.854776,A,1
iwb08s1c,C*,431.5957228,A,1
vuzy28h2,C*,432.1252323,A,1
4oy0xqys,C*,432.7039318,A,1
0hccppog,C*,439.2247032,A,1
qx3g0ple,C*,448.4004319,A,1
l7kffmtk,C*,461.0317472,A,1
ty3bm26o,C*,480.5904787,A,1
tgfvisg1,C*,481.0955128,A,1
du0k5s2m,C*,493.6570538,A,1
ceujoiut,C*,497.4812838,A,1
pejrqx7e,C*,498.2743442,A,1
