session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,xzvqxe4b,1,lying,Ini,1533035328,178,1,False
1,1,xzvqxe4b,2,lying,Welcome,1533035586,258,1,False
1,1,xzvqxe4b,3,lying,Instructions,1533035734,148,1,False
1,1,xzvqxe4b,4,lying,Ready,1533035741,7,1,False
1,1,xzvqxe4b,5,lying,ReadyWait,1533035848,107,1,False
1,1,xzvqxe4b,6,lying,Countdown,1533035854,6,1,True
1,1,xzvqxe4b,7,lying,Rolling,1533035858,4,1,True
1,1,xzvqxe4b,8,lying,Decision,1533035861,3,1,False
1,1,xzvqxe4b,9,lying,Q0,1533035863,2,1,False
1,1,xzvqxe4b,10,lying,Q1,1533035869,6,1,False
1,1,xzvqxe4b,11,lying,Q2,1533035880,11,1,False
1,1,xzvqxe4b,12,lying,Q3,1533035899,19,1,False
1,1,xzvqxe4b,13,lying,Q4,1533035940,41,1,False
1,1,xzvqxe4b,14,lying,Q5,1533035957,17,1,False
1,1,xzvqxe4b,15,lying,Outro,1533035959,2,1,False
1,2,99vf1fko,1,lying,Ini,1533035280,130,1,False
1,2,99vf1fko,2,lying,Welcome,1533035593,313,1,False
1,2,99vf1fko,3,lying,Instructions,1533035770,177,1,False
1,2,99vf1fko,4,lying,Ready,1533035790,20,1,False
1,2,99vf1fko,5,lying,ReadyWait,1533035848,58,1,False
1,2,99vf1fko,6,lying,Countdown,1533035854,6,1,True
1,2,99vf1fko,7,lying,Rolling,1533035858,4,1,True
1,2,99vf1fko,8,lying,Decision,1533035864,6,1,False
1,2,99vf1fko,9,lying,Q0,1533035866,2,1,False
1,2,99vf1fko,10,lying,Q1,1533035872,6,1,False
1,2,99vf1fko,11,lying,Q2,1533035889,17,1,False
1,2,99vf1fko,12,lying,Q3,1533035916,27,1,False
1,2,99vf1fko,13,lying,Q4,1533035965,49,1,False
1,2,99vf1fko,14,lying,Q5,1533036012,47,1,False
1,2,99vf1fko,15,lying,Outro,1533036019,7,1,False
1,3,vlgyt1qn,1,lying,Ini,1533035263,113,1,False
1,3,vlgyt1qn,2,lying,Welcome,1533035589,326,1,False
1,3,vlgyt1qn,3,lying,Instructions,1533035727,138,1,False
1,3,vlgyt1qn,4,lying,Ready,1533035744,17,1,False
1,3,vlgyt1qn,5,lying,ReadyWait,1533035849,105,1,False
1,3,vlgyt1qn,6,lying,Countdown,1533035854,5,1,True
1,3,vlgyt1qn,7,lying,Rolling,1533035858,4,1,True
1,3,vlgyt1qn,8,lying,Decision,1533035865,7,1,False
1,3,vlgyt1qn,9,lying,Q0,1533035873,8,1,False
1,3,vlgyt1qn,10,lying,Q1,1533035879,6,1,False
1,3,vlgyt1qn,11,lying,Q2,1533035908,29,1,False
1,3,vlgyt1qn,12,lying,Q3,1533035936,28,1,False
1,3,vlgyt1qn,13,lying,Q4,1533036070,134,1,False
1,3,vlgyt1qn,14,lying,Q5,1533036118,48,1,False
1,3,vlgyt1qn,15,lying,Outro,1533036156,38,1,False
1,4,584jfgln,1,lying,Ini,1533035173,23,1,False
1,4,584jfgln,2,lying,Welcome,1533035587,414,1,False
1,4,584jfgln,3,lying,Instructions,1533035700,113,1,False
1,4,584jfgln,4,lying,Ready,1533035715,15,1,False
1,4,584jfgln,5,lying,ReadyWait,1533035849,134,1,False
1,4,584jfgln,6,lying,Countdown,1533035854,5,1,True
1,4,584jfgln,7,lying,Rolling,1533035858,4,1,True
1,4,584jfgln,8,lying,Decision,1533035863,5,1,False
1,4,584jfgln,9,lying,Q0,1533035865,2,1,False
1,4,584jfgln,11,lying,Q2,1533035884,19,1,False
1,4,584jfgln,12,lying,Q3,1533035902,18,1,False
1,4,584jfgln,13,lying,Q4,1533035989,87,1,False
1,4,584jfgln,14,lying,Q5,1533036008,19,1,False
1,4,584jfgln,15,lying,Outro,1533036026,18,1,False
1,5,pvfjntyt,1,lying,Ini,1533035227,77,1,False
1,5,pvfjntyt,2,lying,Welcome,1533035587,360,1,False
1,5,pvfjntyt,3,lying,Instructions,1533035683,96,1,False
1,5,pvfjntyt,4,lying,Ready,1533035714,31,1,False
1,5,pvfjntyt,5,lying,ReadyWait,1533035849,135,1,False
1,5,pvfjntyt,6,lying,Countdown,1533035854,5,1,True
1,5,pvfjntyt,7,lying,Rolling,1533035858,4,1,True
1,5,pvfjntyt,8,lying,Decision,1533035862,4,1,False
1,5,pvfjntyt,9,lying,Q0,1533035869,7,1,False
1,5,pvfjntyt,11,lying,Q2,1533035890,21,1,False
1,5,pvfjntyt,12,lying,Q3,1533035909,19,1,False
1,5,pvfjntyt,13,lying,Q4,1533036110,201,1,False
1,5,pvfjntyt,14,lying,Q5,1533036134,24,1,False
1,5,pvfjntyt,15,lying,Outro,1533036145,11,1,False
1,6,omc7yk79,1,lying,Ini,1533035271,121,1,False
1,6,omc7yk79,2,lying,Welcome,1533035587,316,1,False
1,6,omc7yk79,3,lying,Instructions,1533035825,238,1,False
1,6,omc7yk79,4,lying,Ready,1533035848,23,1,False
1,6,omc7yk79,5,lying,ReadyWait,1533035848,0,1,False
1,6,omc7yk79,6,lying,Countdown,1533035854,6,1,True
1,6,omc7yk79,7,lying,Rolling,1533035858,4,1,True
1,6,omc7yk79,8,lying,Decision,1533035864,6,1,False
1,6,omc7yk79,9,lying,Q0,1533035866,2,1,False
1,6,omc7yk79,10,lying,Q1,1533035870,4,1,False
1,6,omc7yk79,11,lying,Q2,1533035900,30,1,False
1,6,omc7yk79,12,lying,Q3,1533035918,18,1,False
1,6,omc7yk79,13,lying,Q4,1533036065,147,1,False
1,6,omc7yk79,14,lying,Q5,1533036091,26,1,False
1,6,omc7yk79,15,lying,Outro,1533036112,21,1,False
1,7,nu9kofp8,1,lying,Ini,1533035237,87,1,False
1,7,nu9kofp8,2,lying,Welcome,1533035587,350,1,False
1,7,nu9kofp8,3,lying,Instructions,1533035669,82,1,False
1,7,nu9kofp8,4,lying,Ready,1533035676,7,1,False
1,7,nu9kofp8,5,lying,ReadyWait,1533035849,173,1,False
1,7,nu9kofp8,6,lying,Countdown,1533035854,5,1,True
1,7,nu9kofp8,7,lying,Rolling,1533035858,4,1,True
1,7,nu9kofp8,8,lying,Decision,1533035863,5,1,False
1,7,nu9kofp8,9,lying,Q0,1533035865,2,1,False
1,7,nu9kofp8,11,lying,Q2,1533035882,17,1,False
1,7,nu9kofp8,12,lying,Q3,1533035897,15,1,False
1,7,nu9kofp8,13,lying,Q4,1533036010,113,1,False
1,7,nu9kofp8,14,lying,Q5,1533036037,27,1,False
1,7,nu9kofp8,15,lying,Outro,1533036051,14,1,False
1,8,0rgaxtow,1,lying,Ini,1533035217,67,1,False
1,8,0rgaxtow,2,lying,Welcome,1533035587,370,1,False
1,8,0rgaxtow,3,lying,Instructions,1533035647,60,1,False
1,8,0rgaxtow,4,lying,Ready,1533035659,12,1,False
1,8,0rgaxtow,5,lying,ReadyWait,1533035848,189,1,False
1,8,0rgaxtow,6,lying,Countdown,1533035854,6,1,True
1,8,0rgaxtow,7,lying,Rolling,1533035858,4,1,True
1,8,0rgaxtow,8,lying,Decision,1533035861,3,1,False
1,8,0rgaxtow,9,lying,Q0,1533035863,2,1,False
1,8,0rgaxtow,11,lying,Q2,1533035876,13,1,False
1,8,0rgaxtow,12,lying,Q3,1533035888,12,1,False
1,8,0rgaxtow,13,lying,Q4,1533035944,56,1,False
1,8,0rgaxtow,14,lying,Q5,1533035967,23,1,False
1,8,0rgaxtow,15,lying,Outro,1533035977,10,1,False
1,9,lxsaa7j0,1,lying,Ini,1533035195,45,1,False
1,9,lxsaa7j0,2,lying,Welcome,1533035587,392,1,False
1,9,lxsaa7j0,3,lying,Instructions,1533035772,185,1,False
1,9,lxsaa7j0,4,lying,Ready,1533035782,10,1,False
1,9,lxsaa7j0,5,lying,ReadyWait,1533035849,67,1,False
1,9,lxsaa7j0,6,lying,Countdown,1533035854,5,1,True
1,9,lxsaa7j0,7,lying,Rolling,1533035858,4,1,True
1,9,lxsaa7j0,8,lying,Decision,1533035862,4,1,False
1,9,lxsaa7j0,9,lying,Q0,1533035868,6,1,False
1,9,lxsaa7j0,11,lying,Q2,1533035900,32,1,False
1,9,lxsaa7j0,12,lying,Q3,1533035924,24,1,False
1,9,lxsaa7j0,13,lying,Q4,1533036181,257,1,False
1,9,lxsaa7j0,14,lying,Q5,1533036226,45,1,False
1,9,lxsaa7j0,15,lying,Outro,1533036254,28,1,False
1,10,mbms0yo6,1,lying,Ini,1533035206,56,1,False
1,10,mbms0yo6,2,lying,Welcome,1533035589,383,1,False
1,10,mbms0yo6,3,lying,Instructions,1533035667,78,1,False
1,10,mbms0yo6,4,lying,Ready,1533035674,7,1,False
1,10,mbms0yo6,5,lying,ReadyWait,1533035848,174,1,False
1,10,mbms0yo6,6,lying,Countdown,1533035854,6,1,True
1,10,mbms0yo6,7,lying,Rolling,1533035858,4,1,True
1,10,mbms0yo6,8,lying,Decision,1533035862,4,1,False
