session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,hv77labn,1,dice,Ini,1559905662,6,1,False
1,1,hv77labn,2,dice,Welcome,1559905663,1,1,False
1,1,hv77labn,3,dice,Instructions,1559905671,8,1,False
1,1,hv77labn,4,dice,Ready,1559905673,2,1,False
1,1,hv77labn,5,dice,ReadyWait,1559905673,0,1,False
1,1,hv77labn,6,dice,Countdown,1559905679,6,1,True
1,1,hv77labn,7,dice,Rolling,1559905681,2,1,True
1,1,hv77labn,8,dice,Decision,1559905684,3,1,False
1,1,hv77labn,9,dice,Q0,1559905690,6,1,False
1,1,hv77labn,10,dice,Q1,1559905693,3,1,False
1,1,hv77labn,11,dice,Q2,1559905699,6,1,False
1,1,hv77labn,12,dice,Q3,1559905702,3,1,False
1,1,hv77labn,13,dice,Q4,1559905707,5,1,False
1,1,hv77labn,14,dice,Q45,1559905711,4,1,False
1,1,hv77labn,16,dice,Q5,1559905715,4,1,False
1,1,hv77labn,17,dice,Q6,1559905728,13,1,False
1,1,hv77labn,18,dice,Outro,1559905731,3,1,False
7,1,h5mt2guj,1,dice,Ini,1560236736,26,7,False
7,1,h5mt2guj,2,dice,Welcome,1560236788,52,7,False
7,1,h5mt2guj,3,dice,Instructions,1560236790,2,7,False
7,1,h5mt2guj,4,dice,Ready,1560236791,1,7,False
7,1,h5mt2guj,5,dice,ReadyWait,1560236798,7,7,False
7,1,h5mt2guj,6,dice,Countdown,1560236803,5,7,True
7,1,h5mt2guj,7,dice,Rolling,1560236806,3,7,True
7,1,h5mt2guj,8,dice,Decision,1560236870,64,7,True
7,1,h5mt2guj,9,dice,Q0,1560236872,2,7,True
7,1,h5mt2guj,11,dice,Q2,1560236875,3,7,True
7,1,h5mt2guj,12,dice,Q3,1560236877,2,7,True
7,1,h5mt2guj,13,dice,Q4,1560236878,1,7,True
7,1,h5mt2guj,15,dice,Q46,1560236880,2,7,True
7,1,h5mt2guj,16,dice,Q5,1560236882,2,7,True
7,2,q8z8sixn,1,dice,Ini,1560236757,47,7,False
7,2,q8z8sixn,2,dice,Welcome,1560236775,18,7,False
7,2,q8z8sixn,3,dice,Instructions,1560236777,2,7,False
7,2,q8z8sixn,4,dice,Ready,1560236798,21,7,False
7,2,q8z8sixn,5,dice,ReadyWait,1560236798,0,7,False
7,2,q8z8sixn,6,dice,Countdown,1560236803,5,7,True
7,2,q8z8sixn,7,dice,Rolling,1560236806,3,7,True
7,2,q8z8sixn,8,dice,Decision,1560236815,9,7,False
7,2,q8z8sixn,9,dice,Q0,1560236816,1,7,False
7,2,q8z8sixn,11,dice,Q2,1560236875,59,7,True
7,2,q8z8sixn,12,dice,Q3,1560236877,2,7,True
7,2,q8z8sixn,13,dice,Q4,1560236878,1,7,True
7,2,q8z8sixn,15,dice,Q46,1560236880,2,7,True
7,2,q8z8sixn,16,dice,Q5,1560236882,2,7,True
7,3,3kzk2l2y,1,dice,Ini,1560236766,56,7,False
7,3,3kzk2l2y,2,dice,Welcome,1560236767,1,7,False
7,3,3kzk2l2y,3,dice,Instructions,1560236770,3,7,False
7,3,3kzk2l2y,4,dice,Ready,1560236771,1,7,False
7,3,3kzk2l2y,5,dice,ReadyWait,1560236798,27,7,False
7,3,3kzk2l2y,6,dice,Countdown,1560236803,5,7,True
7,3,3kzk2l2y,7,dice,Rolling,1560236806,3,7,True
7,3,3kzk2l2y,8,dice,Decision,1560236870,64,7,True
7,3,3kzk2l2y,9,dice,Q0,1560236873,3,7,True
7,3,3kzk2l2y,11,dice,Q2,1560236875,2,7,True
7,3,3kzk2l2y,12,dice,Q3,1560236877,2,7,True
7,3,3kzk2l2y,13,dice,Q4,1560236879,2,7,True
7,3,3kzk2l2y,15,dice,Q46,1560236880,1,7,True
7,3,3kzk2l2y,16,dice,Q5,1560236882,2,7,True
7,4,vgif519f,1,dice,Ini,1560236746,35,7,False
7,4,vgif519f,2,dice,Welcome,1560236779,33,7,False
7,4,vgif519f,3,dice,Instructions,1560236782,3,7,False
7,4,vgif519f,4,dice,Ready,1560236785,3,7,False
7,4,vgif519f,5,dice,ReadyWait,1560236798,13,7,False
7,4,vgif519f,6,dice,Countdown,1560236803,5,7,True
7,4,vgif519f,7,dice,Rolling,1560236806,3,7,True
7,4,vgif519f,8,dice,Decision,1560236870,64,7,True
7,4,vgif519f,9,dice,Q0,1560236873,3,7,True
7,4,vgif519f,11,dice,Q2,1560236875,2,7,True
7,4,vgif519f,12,dice,Q3,1560236877,2,7,True
7,4,vgif519f,13,dice,Q4,1560236879,2,7,True
7,4,vgif519f,15,dice,Q46,1560236880,1,7,True
7,4,vgif519f,16,dice,Q5,1560236882,2,7,True
9,1,pjaxai7q,1,dice,Ini,1560240401,58,9,False
9,1,pjaxai7q,2,dice,Welcome,1560240706,305,9,False
9,1,pjaxai7q,3,dice,Instructions,1560240847,141,9,False
9,1,pjaxai7q,4,dice,Ready,1560240862,15,9,False
9,1,pjaxai7q,5,dice,ReadyWait,1560241213,351,9,False
9,1,pjaxai7q,6,dice,Countdown,1560241219,6,9,True
9,1,pjaxai7q,7,dice,Rolling,1560241221,2,9,True
9,1,pjaxai7q,8,dice,Decision,1560241226,5,9,False
9,1,pjaxai7q,9,dice,Q0,1560241234,8,9,False
9,1,pjaxai7q,11,dice,Q2,1560241255,21,9,False
9,1,pjaxai7q,12,dice,Q3,1560241264,9,9,False
9,1,pjaxai7q,13,dice,Q4,1560241273,9,9,False
9,1,pjaxai7q,15,dice,Q46,1560241297,24,9,False
9,1,pjaxai7q,16,dice,Q5,1560241380,83,9,False
9,1,pjaxai7q,17,dice,Q6,1560241413,33,9,False
9,1,pjaxai7q,18,dice,Outro,1560241428,15,9,False
9,2,ar0ii5g0,1,dice,Ini,1560240438,95,9,False
9,2,ar0ii5g0,2,dice,Welcome,1560241119,681,9,False
9,2,ar0ii5g0,3,dice,Instructions,1560241206,87,9,False
9,2,ar0ii5g0,4,dice,Ready,1560241208,2,9,False
9,2,ar0ii5g0,5,dice,ReadyWait,1560241213,5,9,False
9,2,ar0ii5g0,6,dice,Countdown,1560241219,6,9,True
9,2,ar0ii5g0,7,dice,Rolling,1560241222,3,9,True
9,2,ar0ii5g0,8,dice,Decision,1560241234,12,9,False
9,2,ar0ii5g0,9,dice,Q0,1560241236,2,9,False
9,2,ar0ii5g0,11,dice,Q2,1560241263,27,9,False
9,2,ar0ii5g0,12,dice,Q3,1560241275,12,9,False
9,2,ar0ii5g0,13,dice,Q4,1560241282,7,9,False
9,2,ar0ii5g0,15,dice,Q46,1560241354,72,9,False
9,2,ar0ii5g0,16,dice,Q5,1560241418,64,9,False
9,2,ar0ii5g0,17,dice,Q6,1560241471,53,9,False
9,2,ar0ii5g0,18,dice,Outro,1560241481,10,9,False
9,3,sbhahxv7,1,dice,Ini,1560240373,29,9,False
9,3,sbhahxv7,2,dice,Welcome,1560240649,276,9,False
9,3,sbhahxv7,3,dice,Instructions,1560240751,102,9,False
9,3,sbhahxv7,4,dice,Ready,1560240762,11,9,False
9,3,sbhahxv7,5,dice,ReadyWait,1560241213,451,9,False
9,3,sbhahxv7,6,dice,Countdown,1560241219,6,9,True
9,3,sbhahxv7,7,dice,Rolling,1560241221,2,9,True
9,3,sbhahxv7,8,dice,Decision,1560241227,6,9,False
9,3,sbhahxv7,9,dice,Q0,1560241234,7,9,False
9,3,sbhahxv7,11,dice,Q2,1560241246,12,9,False
9,3,sbhahxv7,12,dice,Q3,1560241257,11,9,False
9,3,sbhahxv7,13,dice,Q4,1560241266,9,9,False
9,3,sbhahxv7,15,dice,Q46,1560241365,99,9,False
9,3,sbhahxv7,16,dice,Q5,1560241419,54,9,False
9,3,sbhahxv7,17,dice,Q6,1560241464,45,9,False
9,3,sbhahxv7,18,dice,Outro,1560241474,10,9,False
9,4,2y3gkcaq,1,dice,Ini,1560240427,84,9,False
9,4,2y3gkcaq,2,dice,Welcome,1560240653,226,9,False
9,4,2y3gkcaq,3,dice,Instructions,1560241204,551,9,False
